station_id,station_name,latitude,longitude,first_used,last_used
3,Colleges of the Fenway,42.340021,-71.100812,2015-04-17,2016-11-30
4,Tremont St. at Berkeley St.,42.345392,-71.069616,2015-01-02,2016-11-30
5,Northeastern U / North Parking Lot,42.341814,-71.090179,2015-04-17,2016-11-30
6,Cambridge St. at Joy St.,42.361174,-71.06514200000002,2015-01-01,2016-11-30
7,Fan Pier,42.35328743453294,-71.0443890094757,2015-04-17,2016-11-30
8,Union Square - Brighton Ave. at Cambridge St.,42.353334,-71.137313,2015-04-17,2016-11-30
9,Agganis Arena - 925 Comm Ave.,42.351246,-71.115639,2015-04-10,2016-11-30
10,B.U. Central - 725 Comm. Ave.,42.350406,-71.10827900000002,2015-04-11,2016-11-30
11,Longwood Ave / Binney St,42.338629,-71.1065,2015-01-12,2016-11-30
12,Ruggles Station / Columbus Ave.,42.335911,-71.08849599999998,2015-04-17,2016-11-30
13,Boston Medical Center -  East Concord at Harrison Ave,42.336437,-71.073089,2015-04-17,2016-11-29
14,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,42.33717100000001,-71.102797,2015-01-05,2016-11-30
15,Harvard Real Estate - Brighton Mills - 370 Western Ave,42.361667,-71.13802,2015-01-06,2016-11-30
16,Back Bay / South End Station,42.34807412317439,-71.07657015323639,2015-01-02,2016-11-30
17,Harvard University Housing - 111 Western Ave. at Soldiers Field Park ,42.365064,-71.119233,2015-01-05,2016-11-30
19,Buswell St. at Park Dr.,42.347241,-71.105301,2015-04-17,2016-11-30
20,Aquarium Station - 200 Atlantic Ave.,42.35977000000001,-71.051601,2015-01-02,2016-11-30
21,Prudential Center / Belvidere,42.345959,-71.082578,2015-01-03,2016-11-30
22,South Station - 700 Atlantic Ave.,42.352175,-71.055547,2015-04-16,2016-11-30
23,Mayor Martin J Walsh - 28 State St,42.35892,-71.057629,2015-01-01,2016-11-30
24,Seaport Square - Seaport Blvd. at Boston Wharf,42.351205,-71.043983,2015-04-17,2016-11-30
25,Tremont St / W Newton St,42.341332,-71.076847,2015-04-17,2016-11-30
26,Washington St. at Waltham St.,42.341522,-71.068922,2015-04-17,2016-11-30
27,Roxbury Crossing Station,42.331184,-71.095171,2015-04-17,2016-11-30
29,Innovation Lab - 125 Western Ave. at Batten Way,42.363732,-71.124565,2015-01-02,2016-11-30
30,Brigham Cir / Huntington Ave,42.334073,-71.105221,2015-04-17,2016-11-30
31,Seaport Hotel,42.348833,-71.041747,2015-04-17,2016-11-30
32,Landmark Centre,42.343912,-71.102221,2015-01-02,2016-11-30
33,Kenmore Sq / Comm Ave,42.348706,-71.097009,2015-01-02,2016-11-30
35,Franklin St. / Arch St.,42.35540200000001,-71.058087,2015-04-21,2016-11-30
36,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,2015-01-01,2016-11-30
37,New Balance - 20 Guest St.,42.357402,-71.14778199999998,2015-04-17,2016-11-29
38,TD Garden - Causeway at Portal Park #2,42.366222,-71.059914,2015-01-01,2016-09-22
39,Washington St. at Rutland St.,42.338623,-71.074182,2015-04-17,2016-11-30
40,Lewis Wharf - Atlantic Ave.,42.363871,-71.050877,2015-04-16,2016-11-30
41,Packard's Corner - Comm. Ave. at Brighton Ave.,42.352261,-71.12383100000002,2015-04-10,2016-11-30
42,Boylston St. at Arlington St.,42.352033,-71.070627,2015-01-05,2016-11-30
43,Rowes Wharf - Atlantic Ave,42.357143,-71.050699,2015-04-17,2016-11-30
44,Faneuil Hall - Union St. at North St.,42.360613,-71.057452,2015-04-12,2016-11-30
45,Yawkey Way at Boylston St.,42.344706,-71.097515,2015-04-17,2016-11-30
46,Christian Science Plaza,42.343864,-71.085918,2015-01-01,2016-11-30
47,Cross St. at Hanover St.,42.362811,-71.056067,2015-04-17,2016-11-30
48,Post Office Square,42.356755,-71.05540699999997,2015-04-17,2016-11-30
49,Stuart St. at Charles St.,42.351146,-71.066289,2015-04-17,2016-11-30
50,Boylston St / Berkeley St,42.350989,-71.07364399999999,2015-04-28,2016-11-28
51,Washington St. at Lenox St.,42.3348756,-71.07909690000002,2015-01-01,2016-11-30
52,Newbury St / Hereford St,42.348717,-71.085954,2015-04-28,2016-11-30
53,Beacon St / Mass Ave,42.350851,-71.08988599999998,2015-04-13,2016-11-28
54,Tremont St / West St,42.354979,-71.063348,2015-01-06,2016-11-30
55,Boylston / Mass Ave,42.347265,-71.088088,2015-04-15,2016-11-28
56,Dudley Square,42.328654,-71.084198,2015-04-22,2016-11-30
57,Columbus Ave. at Mass. Ave.,42.340799,-71.081572,2015-04-17,2016-11-30
58,The Esplanade - Beacon St. at Arlington St.,42.35559600000001,-71.07278000000002,2015-04-12,2016-11-30
59,Chinatown Gate Plaza - Surface Rd. at Beach St.,42.351356,-71.05936700000002,2015-01-09,2016-11-30
60,Charles Circle - Charles St. at Cambridge St.,42.360835,-71.07083990000002,2015-04-13,2016-11-22
61,Boylston at Fairfield,42.348762,-71.082383,2015-04-24,2016-11-28
63,Dorchester Ave. at Gillette Park,42.344023,-71.05705400000002,2015-04-17,2016-11-30
64,Congress / Sleeper,42.3511,-71.0496,2015-04-17,2016-11-30
65,Boston Convention & Exhibition Center,42.3475,-71.0441,2015-04-17,2016-11-30
66,Allston Green District - Commonwealth Ave & Griggs St,42.348607,-71.13401,2015-04-15,2016-11-30
67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2015-01-01,2016-11-30
68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,2015-01-01,2016-11-30
69,Coolidge Corner - Beacon St @ Centre St,42.341598,-71.123338,2015-04-21,2016-11-30
70,Harvard Kennedy School at Bennett St / Eliot St,42.371991654086756,-71.12226963043213,2015-01-01,2016-11-30
71,Conway Park - Somerville Avenue,42.383405,-71.10759300000002,2015-04-14,2016-11-30
72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.08410500000002,2015-01-01,2016-11-30
73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,2015-01-01,2016-11-30
74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,2015-01-01,2016-11-30
75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171065,2015-01-01,2016-11-30
76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.10549499999998,2015-01-01,2016-11-30
77,Somerville City Hall,42.386844,-71.09812,2015-04-17,2016-11-30
78,Union Square - Somerville,42.379637,-71.09531899999998,2015-04-16,2016-11-30
79,Beacon St at Washington / Kirkland,42.37842,-71.10566800000002,2015-06-10,2016-11-30
80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,2015-01-01,2016-11-30
81,Boylston St / Washington St,42.352409,-71.062679,2015-01-02,2016-11-30
82,Washington Square at Washington St. / Beacon St.,42.339335,-71.13493000000003,2015-04-28,2016-11-30
84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,2015-01-01,2016-11-30
85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,2015-01-01,2016-11-30
86,Brookline Village - Pearl Street @ MBTA,42.332799,-71.11620500000002,2015-04-15,2015-11-23
87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,2015-01-01,2016-11-30
88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,2015-01-01,2016-11-30
89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,2015-01-01,2016-11-30
90,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000002,2015-01-01,2016-11-30
91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,2015-01-01,2016-11-30
92,UMass Boston Integrated Sciences Complex,42.3139036,-71.04051209999999,2015-06-11,2016-11-30
93,JFK / UMASS at MBTA Station,42.320494,-71.05112199999998,2015-04-17,2016-11-30
94,Charlestown - Main St at Austin St,42.37560300000001,-71.06460799999998,2015-04-17,2016-11-30
95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,2015-01-01,2016-11-30
96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,2015-01-01,2016-11-30
97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,2015-01-01,2016-11-30
98,Charlestown - Warren St at Chelsea St,42.371848,-71.060292,2015-01-05,2016-11-30
99,Wilson Square,42.385582,-71.113341,2015-04-13,2016-11-30
100,Davis Square,42.396969,-71.123024,2015-04-14,2016-11-30
102,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,2015-04-17,2016-11-30
103,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,2015-04-17,2016-11-30
104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,2015-01-01,2016-11-30
105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,2015-01-01,2016-11-30
106,Mt Pleasant Ave / Dudley Town Common,42.325333,-71.075354,2015-04-17,2016-11-28
107,Ames St at Main St,42.3625,-71.08821999999998,2015-01-01,2016-11-30
108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,2015-01-01,2016-11-30
109,TD Garden - West End Park,42.365884815435635,-71.06454849243164,2015-01-02,2016-11-30
110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,2015-01-01,2016-11-30
111,Packard Ave / Powderhouse Blvd,42.40449,-71.123413,2015-04-17,2016-11-30
112,Somerville Hospital at Highland Ave / Crocker St,42.39082,-71.10942,2015-04-15,2016-11-30
113,Andrew Station - Dorchester Ave at Humboldt Pl,42.330716,-71.05704399999998,2015-04-17,2016-11-29
114,Teele Square at 239 Holland St,42.402763,-71.126908,2015-04-16,2016-11-30
115,Porter Square Station,42.387995,-71.119084,2015-01-01,2016-11-30
116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,2015-01-01,2016-11-30
117,Binney St / Sixth St,42.366095,-71.086388,2015-01-01,2016-11-30
118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,2015-01-01,2016-11-30
119,South Boston Library - 646 East Broadway,42.335741,-71.03877,2015-04-17,2016-11-30
120,Charles St at Beacon St,42.35605200000001,-71.069849,2015-04-10,2016-11-22
121,West Broadway at Dorchester St,42.335693,-71.045859,2015-04-17,2016-11-30
122,BIDMC - Brookline at Burlington St,42.345733,-71.10069399999998,2015-04-16,2016-11-28
123,JP Center - Centre Street at Myrtle Street,42.313156,-71.11414,2015-04-16,2015-11-17
124,Curtis Hall at South Street,42.309054,-71.11543,2015-04-17,2016-11-30
125,Hyde Square at Barbara St,42.320998,-71.110833,2015-04-16,2016-11-28
126,Egleston Square at Columbus Ave,42.315692,-71.09863399999998,2015-04-17,2016-11-30
128,E. Cottage St at Columbia Rd,42.320561,-71.06198,2015-04-17,2016-11-29
129,Hayes Square at Vine St.,42.377022,-71.056605,2015-04-17,2016-11-30
130,Upham's Corner - Ramsey St at Dudley St,42.317225,-71.065421,2015-04-17,2016-11-30
131,Jackson Square T at Centre St,42.322701,-71.099533,2015-04-17,2016-11-30
132,Summer St at Cutter St,42.394002,-71.120406,2015-06-10,2015-11-24
133,Green St T,42.310579,-71.107341,2015-04-17,2016-11-30
134,New Balance Store - Boylston at Dartmouth,42.350413,-71.07655,2015-04-24,2016-11-28
135,ID Building East,42.344827,-71.028664,2015-04-17,2016-11-30
136,ID Building West,42.344796,-71.031614,2015-04-17,2016-11-30
137,Magoun Square at Trum Field,42.39836500000001,-71.10781800000002,2015-04-17,2016-11-30
138,Mass Ave at Newmarket Square,42.326599,-71.066498,2015-04-17,2016-11-30
139,Dana Park,42.361589,-71.107437,2015-04-17,2016-11-30
140,Danehy Park,42.388966,-71.132788,2015-01-01,2016-11-30
141,Kendall Street,42.36356015842989,-71.08216792345047,2015-01-01,2016-11-30
142,Alewife Station at Russell Field,42.396105,-71.139459,2015-01-01,2016-11-30
143,EF - North Point Park,42.369885,-71.06995699999997,2015-01-01,2016-11-30
145,Rindge Avenue - O'Neill Library,42.392766,-71.129042,2015-01-01,2016-11-30
146,Day Boulevard,42.336448,-71.023739,2016-03-17,2016-11-30
149,Harvard University Transportation Services - 175 North Harvard St,42.363796,-71.129164,2015-01-01,2016-11-30
150,State Street at Channel Center,42.344137,-71.05260799999998,2015-04-17,2016-11-30
151,John F Fitzgerald - Surface Road at India Street,42.358155,-71.05216300000002,2015-04-17,2016-11-30
152,Ink Block,42.345901,-71.063187,2015-04-17,2016-11-30
159,Heath St at South Huntington,42.32797270205962,-71.11089706420898,2015-10-15,2016-11-30
160,Wentworth Institute of Technology,42.33759600000001,-71.096391,2015-10-02,2016-11-30
161,West Broadway at D Street,42.3391085,-71.05144320000002,2015-10-02,2016-11-30
162,Franklin Park - Seaver Street at Humbolt Ave,42.309796,-71.092225,2015-10-05,2016-11-26
163,Lawn on D,42.344792,-71.044024,2015-10-06,2016-11-30
167,Ryan Playground - Dorchester Avenue Station,42.317642,-71.056664,2015-10-05,2016-11-09
169,Edwards Playground - Main Street & Eden Street,42.378965,-71.068607,2015-10-06,2016-11-30
170,Franklin Park Zoo,42.303469,-71.085347,2015-10-06,2016-11-19
171,Bunker Hill Community College,42.37408991426522,-71.06905996799469,2015-10-15,2016-11-30
173,Savin Hill MBTA Station,42.310599,-71.053927,2016-04-17,2016-11-30
174,Washington St at Brock St,42.34900494405213,-71.16041064262392,2015-10-09,2016-11-30
175,Brighton Center,42.34894857235593,-71.15027189254761,2015-10-11,2016-11-30
176,Lesley University,42.38674802045056,-71.11901879310608,2015-11-04,2016-11-30
177,University Park,42.36264779118595,-71.1000609397888,2015-11-04,2016-11-30
178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,2015-11-04,2016-11-30
179,MIT Vassar St,42.35560121327927,-71.10394477844237,2015-11-04,2016-11-30
180,Mt Auburn,42.37478628706384,-71.13320231437683,2015-11-05,2016-11-30
183,Alewife MBTA at Steel Place,42.395588457167094,-71.14260613918304,2016-08-30,2016-11-30
184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960631,2016-10-05,2016-11-30
185,Third at Binney,42.365444861374,-71.08277142047879,2016-10-27,2016-11-30
186,Congress St and Northern Ave,42.348203222274606,-71.0376513004303,2016-04-11,2016-11-30
189,Kendall T,42.362427842912396,-71.08495473861693,2016-03-18,2016-11-30
190,Nashua Street at Red Auerbach Way,42.365597706124156,-71.06424808502197,2016-03-03,2016-11-30
192,Purchase St at Pearl St,42.354686,-71.053292,2016-04-15,2016-11-30
193,Brookline Village - Station Street @ MBTA,42.33289074055233,-71.11658334732057,2016-04-28,2016-11-30
194,Broadway St at Mt Pleasant St,42.38614141163957,-71.07828140258789,2016-04-29,2016-11-30
195,Brian P. Murphy Staircase at Child Street,42.3720597013741,-71.07202649116515,2016-06-30,2016-11-30
196,Roxbury YMCA,42.317963,-71.082254,2016-07-21,2016-11-30
197,MLK Blvd at Washington St,42.32167800000001,-71.091822,2016-07-16,2016-11-28
199,Upham's Corner T Stop,42.318843823601064,-71.06975734233856,2016-07-25,2016-11-22
200,Washington St at Melnea Cass Blvd,42.33282815812448,-71.08126938343048,2016-07-21,2016-11-30
201,Walnut Ave at Crawford St,42.316873,-71.091955,2016-08-07,2016-11-30
202,Grove Hall Library,42.308035,-71.081159,2016-08-18,2016-11-30
203,Columbia Rd at Ceylon St,42.309566,-71.072863,2016-08-08,2016-11-22
204,Walnut Ave at Warren St,42.324069,-71.083162,2016-08-08,2016-11-22
205,Bowdoin St at Quincy St,42.30791912678712,-71.06502056121826,2016-08-16,2016-11-23
207,Market St at Faneuil St,42.354801790699455,-71.15025043487549,2016-08-30,2016-11-30
