timestamp,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,uvIndex,visibility,windBearing,windSpeed
2015-01-01 00:00:00-05:00,-10.83,0.22,-11.59,0.63,clear-night,,0.0,0.0,,1019.96,Clear,-5.76,0.0,15.4,229,3.42
2015-01-01 01:00:00-05:00,-11.83,0.17,-12.09,0.62,clear-night,,0.0,0.0,,1019.03,Clear,-5.94,0.0,15.26,226,4.31
2015-01-01 02:00:00-05:00,-12.07,0.06,-12.44,0.6,clear-night,,0.0,0.0,,1018.15,Clear,-6.03,0.0,15.48,232,4.47
2015-01-01 03:00:00-05:00,-11.53,0.07,-12.67,0.57,clear-night,,0.0,0.0,,1017.48,Clear,-5.43,0.0,15.42,236,4.74
2015-01-01 04:00:00-05:00,-11.01,0.34,-12.96,0.53,partly-cloudy-night,,0.0,0.0,,1016.75,Partly Cloudy,-4.78,0.0,15.51,242,5.17
2015-01-01 05:00:00-05:00,-12.31,0.01,-13.15,0.55,clear-night,,0.0,0.0,,1016.59,Clear,-5.53,0.0,15.51,238,5.71
2015-01-01 06:00:00-05:00,-12.21,0.0,-13.38,0.52,clear-night,,0.0,0.0,,1017.29,Clear,-5.17,0.0,15.51,244,6.34
2015-01-01 07:00:00-05:00,-11.59,0.13,-13.24,0.53,clear-night,,0.0,0.0,,1017.47,Clear,-5.22,0.0,15.51,247,5.23
2015-01-01 08:00:00-05:00,-12.01,0.0,-13.41,0.53,clear-day,,0.0,0.0,,1018.22,Clear,-5.43,0.0,15.51,238,5.44
2015-01-01 09:00:00-05:00,-10.34,0.0,-13.74,0.46,clear-day,,0.0,0.0,,1018.82,Clear,-3.79,1.0,15.42,244,6.13
2015-01-01 10:00:00-05:00,-8.43,0.0,-14.0,0.41,clear-day,,0.0,0.0,,1017.87,Clear,-2.43,1.0,15.5,238,5.83
2015-01-01 11:00:00-05:00,-7.32,0.13,-14.28,0.36,clear-day,,0.0,0.0,,1017.41,Clear,-1.05,1.0,15.51,234,7.13
2015-01-01 12:00:00-05:00,-6.89,0.13,-14.54,0.34,clear-day,,0.0,0.0,,1016.15,Clear,-0.74,1.0,15.51,245,7.05
2015-01-01 13:00:00-05:00,-6.07,0.13,-14.33,0.34,clear-day,,0.0,0.0,,1015.0,Clear,-0.21,1.0,15.51,226,6.74
2015-01-01 14:00:00-05:00,-5.68,0.0,-14.62,0.32,clear-day,,0.0,0.0,,1013.94,Clear,0.01,1.0,15.51,233,6.51
2015-01-01 15:00:00-05:00,-5.34,0.0,-13.91,0.34,clear-day,,0.0,0.0,,1013.16,Clear,0.2,1.0,15.51,217,6.31
2015-01-01 16:00:00-05:00,-5.78,0.32,-13.45,0.37,partly-cloudy-day,,0.0,0.0,,1013.04,Partly Cloudy,-0.41,0.0,15.51,219,5.64
2015-01-01 17:00:00-05:00,-6.02,0.0,-12.81,0.39,clear-night,,0.0,0.0,,1012.96,Clear,-0.58,0.0,15.51,224,5.68
2015-01-01 18:00:00-05:00,-6.77,0.13,-12.31,0.42,clear-night,,0.0,0.0,,1013.33,Clear,-1.05,0.0,15.51,227,5.97
2015-01-01 19:00:00-05:00,-6.47,0.35,-12.11,0.42,partly-cloudy-night,,0.0,0.0,,1013.74,Partly Cloudy,-0.94,0.0,15.51,233,5.67
2015-01-01 20:00:00-05:00,-6.38,0.13,-11.63,0.44,clear-night,,0.0,0.0,,1013.57,Clear,-0.99,0.0,15.51,222,5.38
2015-01-01 21:00:00-05:00,-5.89,0.13,-10.49,0.47,clear-night,,0.0,0.0,,1013.29,Clear,-0.65,0.0,15.51,221,5.28
2015-01-01 22:00:00-05:00,-5.71,0.13,-9.79,0.49,clear-night,,0.0,0.0,,1013.33,Clear,-0.48,0.0,15.51,223,5.34
2015-01-01 23:00:00-05:00,-6.22,0.13,-9.16,0.51,clear-night,,0.0,0.0,,1013.21,Clear,-0.23,0.0,15.51,222,7.04
2015-01-02 00:00:00-05:00,-5.32,0.16,-8.63,0.51,clear-night,,0.0,0.0,,1013.57,Clear,0.22,0.0,15.51,232,6.32
2015-01-02 01:00:00-05:00,-4.13,0.88,-8.54,0.49,partly-cloudy-night,,0.0,0.0,,1014.0,Mostly Cloudy,0.88,0.0,15.51,229,5.6
2015-01-02 02:00:00-05:00,-3.66,0.18,-8.73,0.49,clear-night,,0.0,0.0,,1013.82,Clear,0.81,0.0,15.51,234,4.59
2015-01-02 03:00:00-05:00,-3.53,0.19,-8.12,0.52,clear-night,,0.0,0.0,,1014.1,Clear,0.66,0.0,15.51,229,4.09
2015-01-02 04:00:00-05:00,-4.44,0.16,-8.41,0.52,clear-night,,0.0,0.0,,1014.36,Clear,0.29,0.0,15.51,232,4.8
2015-01-02 05:00:00-05:00,-4.18,0.21,-8.69,0.5,clear-night,,0.0,0.0,,1014.82,Clear,0.45,0.0,15.51,234,4.71
2015-01-02 06:00:00-05:00,-3.72,0.12,-8.61,0.49,clear-night,,0.0,0.0,,1015.5,Clear,0.95,0.0,15.51,234,4.99
