"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"USW00014739","BOSTON, MA US","2011-07-27","3.3"," 1647"," 1211","0.0","0.0",,"28.9","20.0","  350","  330","5.8","8.0",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2011-07-28","4.0"," 2211"," 1533","0.0","0.0",,"23.9","20.0","  190","  110","7.2","9.4",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2011-07-29","3.8"," 1539"," 1720","3.6","0.0",,"26.1","18.9","  200","  190","8.0","10.3","    1",,,,,,,,"    1",,,"    1",,,,
"USW00014739","BOSTON, MA US","2011-07-30","5.4"," 0838"," 1525","0.0","0.0",,"31.7","22.8","  320","  350","9.8","13.9","    1",,,,,,,,"    1",,,,,,,
"USW00014739","BOSTON, MA US","2011-07-31","3.8"," 1609"," 1151","0.0","0.0",,"32.8","21.1","  110","  320","6.7","9.4",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2011-08-01","3.6"," 1633"," 1644","0.0","0.0",,"33.9","22.2","  240","  260","7.6","10.3",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2011-08-02","4.3"," 1544"," 1543","15.2","0.0",,"33.3","18.9","  350","   10","9.8","12.5","    1",,"    1",,,,,,,,,"    1",,,,
"USW00014739","BOSTON, MA US","2011-08-03","3.0"," 1220"," 1509","0.0","0.0",,"23.3","18.3","  100","  120","5.8","6.7",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2011-08-04","3.3"," 1339"," 1335","0.0","0.0",,"24.4","19.4","   80","   90","8.0","9.8",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2011-08-05","4.0"," 1659"," 1654","0.0","0.0",,"23.9","19.4","  110","  110","7.6","9.4",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","2011-08-06","4.3"," 1702"," 2112","0.0","0.0",,"31.1","21.1","  230","  250","9.8","16.5",,,,,,,,,,,,"    1",,,,
"USW00014739","BOSTON, MA US","2011-08-07","4.1"," 1041"," 0901","26.9","0.0",,"25.0","21.7","  200","  180","9.8","12.5","    1",,,,,,"    1",,"    1","    1",,"    1",,,,
